1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.574265	0.000000	62.983711	0.012499	598.3
1	-0.583562	0.000000	62.983711	0.019140	1.8
2	-0.565169	1.000000	60.120815	0.016259	1.0
3	-0.545590	2.000000	57.506866	0.015145	1.8
4	-0.585752	1.493051	58.802958	0.015229	1.3
5	-0.575718	2.493051	56.299965	0.023288	0.8
6	-0.572092	3.493051	54.001355	0.020754	1.2
7	-0.563123	4.493051	51.883077	0.016691	1.6
8	-0.566491	5.493051	49.924712	0.015737	0.8
9	-0.554919	6.493051	48.108809	0.012965	1.1
10	-0.560284	5.987778	49.009515	0.023607	1.0
11	-0.574583	6.987778	47.258411	0.020909	0.9
12	-0.592527	7.987778	45.628124	0.021477	0.9
13	-0.578034	8.987778	44.106566	0.018440	1.7
14	-0.566364	9.987778	42.683213	0.018663	0.8
15	-0.596558	10.987778	41.348853	0.017110	1.1
16	-0.544684	11.987778	40.095393	0.014300	1.8
17	-0.592141	11.480829	40.721188	0.015339	1.0
18	-0.571738	12.480829	39.504934	0.013156	1.0
19	-0.585387	11.973879	40.112293	0.015906	1.9
20	-0.572823	12.973879	38.931613	0.017256	1.1
21	-0.551842	13.973879	37.818450	0.010148	0.8
22	-0.596732	13.467324	38.374256	0.021107	2.3
23	-0.560780	14.467324	37.292295	0.021301	0.8
24	-0.580012	15.467324	36.269673	0.014245	1.0
25	-0.563112	16.467324	35.301638	0.014997	1.0
26	-0.580090	17.185142	34.638026	0.013974	1.0
27	-0.551399	16.678668	35.103627	0.022694	1.0
28	-0.581502	17.678668	34.196056	0.022457	1.2
29	-0.552096	18.678668	33.334232	0.010084	0.9
30	-0.562178	18.327490	33.631892	0.013853	0.9
31	-0.598316	19.289447	32.828892	0.013811	1.2
32	-0.564990	20.289447	32.033801	0.015296	1.2
33	-0.580265	21.289447	31.276311	0.017875	0.8
34	-0.585597	22.289444	30.553821	0.016312	1.6
35	-0.560133	23.289444	29.863954	0.009655	1.1
36	-0.579955	22.784127	30.208617	0.012873	0.9
37	-0.561467	22.277280	30.562409	0.024794	1.0
38	-0.536561	23.277280	29.872159	0.016204	1.0
39	-0.562456	22.770331	30.218139	0.013563	1.0
40	-0.568896	23.770330	29.543180	0.017542	1.0
41	-0.545999	23.373293	29.807522	0.022299	1.1
42	-0.548504	24.373293	29.150583	0.013338	1.0
43	-0.570139	25.373293	28.521976	0.011218	1.3
44	-0.543740	24.866701	28.836997	0.012025	1.4
45	-0.563809	24.359778	29.159268	0.013170	0.9
