1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.656641	627.201626	0.012662	500.1
1	-0.491072	623.504937	0.012027	2.2
2	-0.393041	619.865785	0.005745	2.9
3	-0.071169	616.282728	0.009347	2.7
4	-0.626724	612.754375	0.015797	2.1
5	0.000000	609.279381	0.000000	1.8
6	0.000000	605.856447	0.000000	2.2
7	-0.858533	602.484317	0.008186	2.2
8	-1.036335	599.161779	0.023267	2.8
9	-0.564171	595.887656	0.016964	2.0
10	-0.495184	592.660813	0.008648	3.1
11	-0.005275	589.480151	0.000709	2.1
12	-0.000000	586.344606	0.000000	2.1
13	0.000000	583.253145	0.000000	1.8
14	-0.616989	580.204771	0.011819	3.1
15	-0.594638	577.198517	0.007544	2.0
16	-0.642017	574.233444	0.014385	2.6
17	-0.547142	571.308645	0.017369	3.2
18	-1.008193	568.423237	0.011342	3.2
19	-0.560625	565.576365	0.009717	2.1
20	-0.657158	562.767201	0.014217	3.7
21	-0.298017	559.994938	0.010776	2.2
22	-0.990456	557.258797	0.026916	2.0
23	-0.380862	554.558018	0.006105	2.0
24	-0.904583	551.891865	0.042887	3.3
25	-0.596225	549.259621	0.010213	3.0
26	-0.721714	546.660592	0.010516	2.3
27	-0.736832	544.094102	0.019932	4.0
28	-0.000000	541.559494	0.000000	1.9
29	-0.664683	539.056129	0.017148	2.0
30	-0.878440	536.583387	0.039285	2.8
31	-0.958113	534.140663	0.019165	2.8
32	-0.203854	531.727370	0.002982	3.2
33	-0.722250	529.342935	0.023335	2.7
34	-0.395417	526.986802	0.007371	3.9
35	-0.000000	524.658430	0.000000	1.8
36	-0.923907	522.357290	0.013452	4.3
37	-0.941214	520.082868	0.026628	2.5
38	-0.246345	517.834665	0.002114	2.9
39	0.000000	515.612193	0.000000	1.7
40	-0.887950	513.414976	0.024079	2.4
41	-0.794384	511.242551	0.023171	2.1
42	-0.061475	509.094468	0.005582	2.7
43	-0.704370	506.970285	0.025806	2.6
44	-0.904965	504.869574	0.026865	2.3
45	-0.120639	502.791916	0.006642	2.9
46	-0.579811	500.736903	0.021005	2.1
47	0.000000	498.704137	0.000000	2.5
48	-0.615934	496.693228	0.017839	3.0
49	-0.562245	494.703798	0.021610	3.0
50	-0.262517	492.735476	0.011345	3.0
51	-0.509304	490.787900	0.017588	2.2
52	-0.542835	488.860718	0.010528	2.4
53	-0.000000	486.953585	0.000000	1.7
54	-0.940230	485.066164	0.016476	3.1
55	-0.769418	483.198126	0.008217	3.4
56	-0.003368	481.349149	0.000051	2.1
57	-0.486599	479.518920	0.013483	3.2
58	-0.083765	477.707132	0.003199	2.1
59	-0.507638	475.913485	0.013940	4.0
60	-0.507316	474.137684	0.010982	2.8
61	-0.259331	472.379445	0.008218	2.6
62	-0.672179	470.638485	0.012492	2.2
63	-0.000000	468.914531	0.000000	2.8
64	-0.160440	467.207315	0.005973	2.4
65	-0.879283	465.516573	0.019245	2.0
66	-0.376037	463.842050	0.009266	3.0
67	0.000000	462.183494	0.000000	2.9
68	-0.574564	460.540658	0.009452	2.9
69	-0.000006	458.913303	0.000002	2.1
70	0.000000	457.301192	0.000000	2.0
71	0.000000	455.704096	0.000000	2.3
72	-0.569413	454.121787	0.007841	2.9
73	-0.847208	452.554045	0.021515	3.0
74	-0.583673	451.000653	0.009222	2.0
75	-0.505849	449.461399	0.011334	2.6
76	-0.783377	447.936075	0.019820	2.8
77	-0.650545	446.424477	0.010958	2.8
78	0.000000	444.926406	0.000000	1.8
79	-0.103845	443.441666	0.004179	2.8
80	0.000000	441.970065	0.000000	2.0
81	-0.163367	440.511415	0.004800	2.0
82	-0.753470	439.065533	0.012538	3.1
83	-0.587286	437.632238	0.012616	3.5
84	-0.928415	436.211351	0.024960	3.1
85	-0.847694	434.802701	0.032465	3.0
86	-0.246591	433.406117	0.005079	2.1
87	-0.012335	432.021430	0.000192	4.2
88	-0.834329	430.648479	0.033586	3.4
89	-0.661185	429.287101	0.015531	2.7
90	-0.332608	427.937140	0.004468	2.2
91	-0.549041	426.598440	0.006004	2.2
92	-0.342357	425.270849	0.007196	2.4
93	-0.611603	423.954220	0.015982	2.0
94	-0.177528	422.648404	0.004603	2.2
95	-0.892412	421.353259	0.021156	3.2
96	0.000000	420.068643	0.000000	1.8
97	-0.751857	418.794419	0.012446	2.8
98	-0.603586	417.530451	0.021840	2.5
99	-0.325067	416.276604	0.003070	2.0
100	-0.871415	415.032748	0.008646	3.5
101	-0.493755	413.798754	0.014827	3.5
102	-0.309909	412.574495	0.007282	3.0
103	-0.761419	411.359849	0.014125	1.9
104	-0.895352	410.154691	0.034058	4.2
105	-0.875471	408.958904	0.015862	2.6
106	-0.027014	407.772368	0.003548	3.2
107	-0.512174	406.594968	0.009836	2.1
108	-0.014191	405.426590	0.000309	4.0
109	-0.425228	404.267122	0.018142	2.0
110	-0.479832	403.116456	0.008917	3.9
111	-0.592717	401.974481	0.010324	2.0
112	-0.592788	400.841093	0.016180	2.2
113	-0.209580	399.716187	0.008079	3.6
